"Date","Price","Open","High","Low","Vol.","Change %"
"11/05/2017","56.98","56.20","58.14","55.88","1.24M","2.01%"
"10/29/2017","55.86","54.35","55.97","53.96","706.58K","3.27%"
"10/22/2017","54.09","52.29","54.36","51.73","851.49K","4.34%"
"10/15/2017","51.84","51.70","52.65","50.87","2.75M","0.21%"
"10/08/2017","51.73","49.65","52.03","49.48","1.27M","4.19%"
"10/01/2017","49.65","51.84","51.98","49.44","1.00M","-4.43%"
"09/24/2017","51.95","51.06","53.11","50.77","1.12M","1.80%"
"09/17/2017","51.03","50.39","51.13","49.68","2.34M","1.17%"
"09/10/2017","50.44","48.15","50.88","47.59","1.73M","4.95%"
"09/03/2017","48.06","48.00","49.84","47.72","1.21M","0.15%"
"08/27/2017","47.99","48.23","48.47","46.14","1.55M","-0.27%"
"08/20/2017","48.12","48.89","48.91","47.21","2.22M","-1.11%"
"08/13/2017","48.66","48.93","49.31","46.62","2.05M","-0.63%"
"08/06/2017","48.97","49.72","50.35","48.14","1.23M","-1.53%"
"07/30/2017","49.73","49.97","50.51","48.49","818.66K","-0.16%"
"07/23/2017","49.81","45.78","49.90","45.58","810.57K","8.40%"
"07/16/2017","45.95","46.89","47.74","45.73","2.67M","-1.71%"
"07/09/2017","46.75","44.50","46.93","43.83","1.55M","5.32%"
"07/02/2017","44.39","46.51","47.52","43.96","700.78K","-4.10%"
"06/25/2017","46.29","43.38","46.59","42.87","692.95K","6.98%"
"06/18/2017","43.27","44.89","45.28","42.27","1.98M","-3.78%"
"06/11/2017","44.97","46.01","46.94","44.45","1.72M","-2.39%"
"06/04/2017","46.07","47.94","48.62","45.48","1.34M","-3.76%"
"05/28/2017","47.87","50.23","50.53","46.98","568.05K","-4.36%"
"05/21/2017","50.05","50.93","52.22","48.44","1.16M","-1.22%"
"05/14/2017","50.67","48.19","50.90","48.08","2.26M","5.19%"
"05/07/2017","48.17","46.69","48.58","45.92","1.30M","3.37%"
"04/30/2017","46.60","49.47","49.61","44.13","960.12K","-6.09%"
"04/23/2017","49.62","50.02","50.56","48.55","738.80K","-0.70%"
"04/16/2017","49.97","53.34","53.63","49.54","2.25M","-6.77%"
"04/09/2017","53.60","52.68","54.14","52.67","1.13M","1.82%"
"04/02/2017","52.64","51.15","53.35","50.35","1.08M","3.07%"
"03/26/2017","51.07","48.69","51.29","47.63","795.21K","5.28%"
"03/19/2017","48.51","49.25","49.48","47.58","1.67M","-1.62%"
"03/12/2017","49.31","49.00","50.14","47.71","1.76M","0.57%"
"03/05/2017","49.03","53.65","54.29","48.85","1.35M","-8.83%"
"02/26/2017","53.78","54.34","54.93","53.00","730.63K","-0.99%"
"02/19/2017","54.32","53.90","55.25","53.67","989.84K","1.00%"
"02/12/2017","53.78","54.32","54.42","53.12","1.64M","-1.01%"
"02/05/2017","54.33","54.48","54.77","51.86","1.31M","-0.26%"
"01/29/2017","54.47","53.68","54.96","52.90","771.64K","1.34%"
"01/22/2017","53.75","53.99","54.68","52.98","647.88K","1.00%"
"01/15/2017","53.22","53.31","54.32","51.72","2.13M","0.13%"
"01/08/2017","53.15","54.60","54.73","51.59","1.53M","-3.13%"
"01/01/2017","54.87","55.05","56.18","53.08","741.09K","0.38%"
"12/25/2016","54.66","54.18","55.22","53.90","349.78K","1.37%"
"12/18/2016","53.92","53.25","54.64","52.57","1.18M","1.83%"
"12/11/2016","52.95","53.70","55.44","51.10","1.86M","0.97%"
"12/04/2016","52.44","52.57","53.38","50.76","1.44M","-0.40%"
"11/27/2016","52.65","46.66","52.69","45.74","1.23M","12.02%"
"11/20/2016","47.00","46.60","50.02","46.46","1.05M","1.38%"
"11/13/2016","46.36","43.90","47.12","42.95","2.36M","5.01%"
"11/06/2016","44.15","45.00","46.58","43.73","1.59M","-1.12%"
"10/30/2016","44.65","48.95","49.36","44.16","946.28K","-9.49%"
"10/23/2016","49.33","51.45","51.56","49.06","664.48K","-4.08%"
"10/16/2016","51.43","50.65","52.22","49.90","2.04M","1.34%"
"10/09/2016","50.75","50.10","52.16","49.71","1.95M","0.73%"
"10/02/2016","50.38","48.64","51.30","48.35","1.06M","3.20%"
"09/25/2016","48.82","45.18","48.90","44.76","1.02M","8.32%"
"09/18/2016","45.07","43.70","47.13","43.06","1.85M","3.32%"
"09/11/2016","43.62","46.21","47.07","43.35","1.80M","-6.11%"
"09/04/2016","46.46","44.76","48.38","44.47","1.00M","3.15%"
"08/28/2016","45.04","47.89","48.11","43.59","618.58K","-6.81%"
"08/21/2016","48.33","49.02","49.14","47.12","952.77K","-1.59%"
"08/14/2016","49.11","45.37","49.36","45.06","1.94M","8.70%"
"08/07/2016","45.18","42.70","45.47","41.85","1.20M","6.13%"
"07/31/2016","42.57","42.07","42.85","39.96","892.18K","0.57%"
"07/24/2016","42.33","44.88","45.05","41.30","518.39K","-5.68%"
"07/17/2016","44.88","46.83","46.84","44.42","1.50M","-3.79%"
"07/10/2016","46.65","45.77","47.69","45.20","1.51M","1.15%"
"07/03/2016","46.12","49.90","50.03","45.47","825.78K","-7.11%"
"06/26/2016","49.65","48.48","50.70","46.53","645.92K","2.77%"
"06/19/2016","48.31","49.09","51.11","47.39","1.31M","-0.51%"
"06/12/2016","48.56","49.52","49.91","46.40","1.50M","-2.33%"
"06/05/2016","49.72","49.29","52.28","49.20","1.07M","1.24%"
"05/29/2016","49.11","49.97","50.51","48.21","428.71K","-1.27%"
"05/22/2016","49.74","48.86","50.59","47.88","455.08K","2.75%"
"05/15/2016","48.41","46.96","49.56","46.84","2.27M","3.22%"
"05/08/2016","46.90","45.61","47.73","43.65","1.38M","3.49%"
"05/01/2016","45.32","46.64","46.84","43.92","933.97K","-2.93%"
"04/24/2016","46.69","44.54","47.54","43.43","614.49K","4.83%"
"04/17/2016","44.54","39.90","45.34","39.00","2.34M","6.78%"
"04/10/2016","41.71","41.02","43.69","40.53","1.69M","1.76%"
"04/03/2016","40.99","38.12","41.03","36.57","1.29M","7.30%"
"03/27/2016","38.20","40.65","41.28","38.07","591.31K","-5.98%"
"03/20/2016","40.63","41.07","42.88","39.50","909.85K","-1.24%"
"03/13/2016","41.14","39.85","42.49","37.71","1.96M","2.62%"
"03/06/2016","40.09","38.00","40.48","38.00","1.48M","6.20%"
"02/28/2016","37.75","34.55","38.15","34.22","816.14K","9.17%"
"02/21/2016","34.58","31.96","36.43","31.61","1.12M","8.91%"
"02/14/2016","31.75","31.30","34.21","30.66","1.88M","-0.50%"
"02/07/2016","31.91","32.79","33.28","28.74","1.95M","-2.48%"
"01/31/2016","32.72","35.46","35.81","31.14","1.12M","-7.26%"
"01/24/2016","35.28","33.55","36.28","30.70","860.92K","5.28%"
"01/17/2016","33.51","30.17","33.63","27.56","1.74M","10.27%"
"01/10/2016","30.39","34.11","34.31","30.06","1.72M","-11.45%"
"01/03/2016","34.32","38.75","39.53","33.34","965.14K","-10.09%"
"12/27/2015","38.17","39.09","39.09","37.28","230.99K","-2.40%"
